"X","Y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
-108.256694444444,29.6811382222222,11.5874996185303,17.375,53.1345558166504,577.101379394531,28.1000003814697,-4.59999990463257,32.7000007629395,17.966667175293,10.75,18.5499992370605,4.46666669845581,675,162,12,86.330451965332,394,49,352,111
-108.205305555556,29.6830271111111,11.3333330154419,16.9333324432373,52.5879898071289,575.046752929688,27.6000003814697,-4.59999990463257,32.2000007629395,17.7000007629395,10.4833335876465,18.283332824707,4.26666688919067,672,163,12,85.712287902832,392,49,347,109
-108.154027777778,29.6848885555556,11.1083335876465,16.3999996185303,52.0634918212891,569.783996582031,27.1000003814697,-4.40000009536743,31.5,17.466667175293,10.1833333969116,18.0499992370605,4.18333339691162,609,152,11,88.6407928466797,364,42,320,92
-108.101916666667,29.6869441111111,11.5833330154419,16.283332824707,51.8577499389648,569.694213867188,27.5,-3.90000009536743,31.3999996185303,17.8999996185303,10.6999998092651,18.5,4.63333320617676,592,147,11,88.3454666137695,354,42,310,90
-108.050944444444,29.6887496666667,11.0458335876465,16.158332824707,52.1236572265625,559.490234375,26.7999992370605,-4.19999980926514,31,17.2666664123535,10.0999994277954,17.8999996185303,4.30000019073486,561,143,10,91.8307266235352,344,36,301,79
-108.615861111111,29.6219437777778,14.6666669845581,16.9500007629395,53.6392402648926,554.671630859375,30.7000007629395,-0.899999976158142,31.6000003814697,20.783332824707,13.6333332061768,21.4333343505859,7.93333339691162,788,174,9,77.1306457519531,405,56,373,184
-108.563833333333,29.6242771111111,12.7916669845581,16.3999996185303,53.5947723388672,542.598266601562,28.2999992370605,-2.29999995231628,30.5999984741211,18.8999996185303,11.6166667938232,19.4166660308838,6.25,777,178,11,78.7226715087891,412,56,379,165
-108.5125,29.6261104444444,12.4875001907349,16.2250003814697,51.5079383850098,586.333435058594,28.2999992370605,-3.20000004768372,31.5,19.0499992370605,11.5500001907349,19.6166667938232,5.31666660308838,748,169,10,78.8075332641602,395,53,363,165
-108.460722222222,29.6284715555556,11.4041662216187,16.6416664123535,52.663501739502,567.324096679688,27.2999992370605,-4.30000019073486,31.5999984741211,17.7666664123535,10.4166669845581,18.2999992370605,4.48333311080933,727,174,12,82.3733520507812,403,52,370,135
-108.254444444444,29.6366107777778,11.8041667938232,17.2083339691162,52.9487152099609,574.865417480469,28.2000007629395,-4.30000019073486,32.5,18.1666660308838,10.966667175293,18.7333335876465,4.71666669845581,665,160,12,85.5714950561523,384,51,346,112
-108.203083333333,29.638083,11.6708335876465,17.0083332061768,52.9854621887207,569.411376953125,27.8999996185303,-4.19999980926514,32.0999984741211,18,10.7833337783813,18.5499992370605,4.68333339691162,697,168,13,85.5123519897461,405,53,360,115
-108.151138888889,29.6402774444444,11.7916669845581,16.8833332061768,52.7604179382324,570.262451171875,28,-4,32,18.1166667938232,10.9333333969116,18.6833324432373,4.78333330154419,650,158,13,86.5506820678711,382,49,338,105
-108.099610777778,29.6423607777778,11.5,16.5666675567627,52.4261589050293,566.853332519531,27.5,-4.09999990463257,31.6000003814697,17.7999992370605,10.6000003814697,18.3999996185303,4.59999990463257,607,151,12,88.2613143920898,363,45,317,92
-108.048333,29.6436107777778,11.2333335876465,16.3500003814697,52.2364196777344,568.244262695312,27.1000003814697,-4.19999980926514,31.2999992370605,17.5666675567627,10.3166666030884,18.1666679382324,4.34999990463257,568,143,11,90.2545700073242,345,39,301,82
-108.561611111111,29.5792771111111,12.8374996185303,16.3916664123535,53.3930511474609,543.862976074219,28.3999996185303,-2.29999995231628,30.6999988555908,18.9333343505859,11.716667175293,19.466667175293,6.26666688919067,796,181,11,78.2243728637695,420,59,387,169
-108.51,29.5808326666667,11.0541667938232,16.0249996185303,52.7138175964355,551.668762207031,26.2999992370605,-4.09999990463257,30.3999996185303,17.3333339691162,9.93333339691162,17.783332824707,4.38333320617676,765,183,12,81.7117691040039,421,55,387,144
-108.458611111111,29.5830548888889,11.2375001907349,16.3250007629395,52.4919624328613,563.157165527344,26.7999992370605,-4.30000019073486,31.0999984741211,17.6166667938232,10.1666669845581,18.1000003814697,4.40000009536743,749,180,12,82.539924621582,415,54,382,139
-108.406972222222,29.5849441111111,11.2708330154419,16.8250007629395,53.0757102966309,563.513549804688,27.2000007629395,-4.5,31.7000007629395,17.6000003814697,10.2666664123535,18.1166667938232,4.41666650772095,729,177,12,83.7993545532227,410,53,376,129
-108.355194444444,29.587333,11.279167175293,16.8083343505859,53.023136138916,562.718505859375,27.2999992370605,-4.40000009536743,31.6999988555908,17.5833339691162,10.2833337783813,18.1000003814697,4.39999961853027,723,176,13,84.5465087890625,411,54,375,124
-108.149610777778,29.5945552222222,11.7791662216187,16.9583339691162,52.9947929382324,563.021301269531,28,-4,32,18.0166664123535,10.8999996185303,18.5833339691162,4.88333320617676,667,163,14,85.9857711791992,390,52,345,108
-108.097360777778,29.5970274444444,11.3166666030884,16.533332824707,52.3206748962402,569.12744140625,27.2999992370605,-4.30000019073486,31.5999984741211,17.6666660308838,10.4166669845581,18.2333335876465,4.38333320617676,622,155,12,88.3577728271484,371,45,326,96
-107.994444111111,29.6005555555556,11.3041667938232,17.0583343505859,52.8121757507324,574.082092285156,27.6000003814697,-4.69999980926514,32.2999992370605,17.6166667938232,10.5666666030884,18.2999992370605,4.30000019073486,555,141,11,92.0712356567383,342,38,297,76
-108.559111111111,29.5342774444444,12.9583330154419,16.5166664123535,54.1530075073242,531.814331054688,28.3999996185303,-2.09999990463257,30.5,18.9333343505859,11.8000001907349,19.4333324432373,6.55000019073486,806,186,11,79.0812454223633,429,59,397,168
-108.507444444444,29.535583,11.8041667938232,16.2749996185303,53.5361824035645,541.867370605469,27.1000003814697,-3.29999995231628,30.3999996185303,17.9500007629395,10.6833333969116,18.4166660308838,5.26666641235352,779,185,12,81.1375198364258,425,57,393,151
-108.456555555556,29.5376385555556,11.2083330154419,16.25,52.9315948486328,552.427856445312,26.7000007629395,-4,30.7000007629395,17.466667175293,10.1000003814697,17.9333343505859,4.51666641235352,764,185,13,83.1041412353516,426,55,392,140
-108.404722222222,29.5399718888889,11.3874998092651,16.091667175293,52.5871467590332,555.947692871094,26.8999996185303,-3.70000004768372,30.6000003814697,17.6833343505859,10.2666664123535,18.1499996185303,4.66666650772095,739,180,12,84.0680313110352,415,54,382,133
-108.353055555556,29.5424163333333,10.9958333969116,16.1416664123535,52.9235000610352,552.339904785156,26.3999996185303,-4.09999990463257,30.5,17.283332824707,9.85000038146973,17.7333335876465,4.33333349227905,738,181,13,85.0849380493164,421,53,384,127
-108.301666666667,29.5438885555556,11.8374996185303,16.5249996185303,53.1350479125977,556.225646972656,27.6000003814697,-3.5,31.1000003814697,18.1000003814697,10.8166666030884,18.5833339691162,5.06666660308838,706,173,12,85.9143142700195,405,52,370,122
-108.146527444444,29.5493885555556,11.7749996185303,17.1000003814697,52.9411735534668,569.34375,28.2000007629395,-4.09999990463257,32.2999992370605,18.0666656494141,10.9499998092651,18.7000007629395,4.80000019073486,655,161,13,86.8713684082031,384,49,342,107
